,Univ,State,SAT,Top10,Accept,SFRatio,Expenses,GradRate,cluster_ward,,
0,Brown,RI,1310,89,22,13,22704,94,0,,0 = Tear1
1,CalTech,CA,1415,100,25,6.5,63575,81,0,,1 = Tear2
2,CMU,PA,1260,62,59,9,25026,72,0,,
3,Columbia,NY,1310,76,24,12,31510,92,0,,
4,Cornell,NY,1280,83,33,13,21864,90,0,,
5,Dartmouth,NH,1340,89,23,10,32162,95,0,,
6,Duke,NC,1315,90,30,12,31585,95,0,,
7,Georgetown,DC,1266.916667,74,24,12,20126,92,0,,
8,Harvard,MA,1400,91,14,11,39525,97,0,,
9,JohnsHopkins,MD,1305,75,44,7,58691,87,0,,
10,MIT,MA,1380,94,30,10,34870,91,0,,
11,Northwestern,IL,1260,85,39,11,28052,89,0,,
12,NotreDame,IN,1255,81,42,13,15122,94,0,,
13,PennState,PA,1090,50,54,18,10185,80,1,,
14,Princeton,NJ,1375,91,14,8,30220,95,0,,
15,Purdue,IN,1090,50,89,18.5,9066,69,1,,
16,Stanford,CA,1360,90,20,12,36450,93,0,,
17,TexasA&M,TX,1090,50,67,18.5,8704,67,1,,
18,UCBerkeley,CA,1240,95,40,17,15140,78,0,,
19,UChicago,IL,1290,75,50,12,38380,87,0,,
20,UMichigan,MI,1180,65,68,16,15470,85,1,,
21,UPenn,PA,1285,80,36,11,27553,90,0,,
22,UVA,VA,1225,77,44,14,13349,92,0,,
23,UWisconsin,WI,1090,50,69,15,11857,71,1,,
24,Yale,CT,1375,95,19,11,43514,96,0,,
